date,"Miner, SD","Harding, SD","Campbell, SD","Buffalo, SD","Faulk, SD","Haakoon, SD","Towner, ND","Sheridan, ND","Eddy, ND","Golden Valley, ND","Oliver, ND","Logan, ND","McCone, Mont","Golden Valley, Mont","Sheridan, Kan","Hayes, Neb"
3/27/2020,,,,,,,,,,,,,,,,
3/28/2020,,,,,,,,,,,,,,,,
3/29/2020,,,,,,,,,,,,,,,,
3/30/2020,,,,,,,,,,,,,,,,
3/31/2020,,,,,,,,,,,,,,,,
4/1/2020,,,,,,,,,,,,,,,,
4/2/2020,,,,,,,,,,,,,,,,
4/3/2020,,,,,,,,,,,,,,,,
4/4/2020,,,,,,,,,,,,,,,,
4/5/2020,,,,,,,,,,,,,,,,
4/6/2020,,,,,,,,,,,,,,,,
4/7/2020,,,,,,,,,,,,,,,,
4/8/2020,,,,,,,,,,,,,,,,
4/9/2020,,,,,,,,,,,,,,,,
4/10/2020,,,,,,,,,,,,,,,,
4/11/2020,,,,,,,,,,,,,,,,
4/12/2020,,,,,,,,,,,,,,,,
4/13/2020,,,,,,,,,,,,,,,,
4/14/2020,,,,,,,,,,,,,,,,
4/15/2020,,,,,,,,,,,,,,,,
4/16/2020,,,,,,,,,,,,,,,,
4/17/2020,,,,,,,,,,,,,,,,
4/18/2020,,,,,,,,,,,,,,,,
4/19/2020,,,,,,,,,,,,,,,,
4/20/2020,,,,,,,,,,,,,,,,
4/21/2020,,,,,,,,,,,,,,,,
4/22/2020,,,,,,,,,,,,,,,,
4/23/2020,,,,,,,,,,,,,,,,
4/24/2020,,,,,,,,,,,,,,,,
4/25/2020,,,,,,,,,,,,,,,,
4/26/2020,,,,,,,,,,,,,,,,
4/27/2020,,,,,,,,,,,,,,,,
4/28/2020,,,,,,,,,,,,,,,,
4/29/2020,,,,,,,,,,,,,,,,
4/30/2020,,,,,,,,,,,,,,,,
5/1/2020,,,,,,,,,,,,,,,,
5/2/2020,,,,,,,,,,,,,,,,
5/3/2020,,,,,,,,,,,,,,,,
5/4/2020,,,,,,,,,,,,,,,,
5/5/2020,,,,,,,,,,,,,,,,
5/6/2020,,,,,,,,,,,,,,,,
5/7/2020,,,,,,,,,,,,,,,,
5/8/2020,,,,,,,,,,,,,,,,
5/9/2020,,,,,,,,,,,,,,,,
5/10/2020,,,,,,,,,,,,,,,,
5/11/2020,,,,,,,,,,,,,,,,
5/12/2020,,,,,,,,,,,,,,,,
5/13/2020,,,,,,,,,,,,,,,,
5/14/2020,,,,,,,,,,,,,,,,
5/15/2020,,,,,,,,,,,,,,,,
5/16/2020,,,,,,,,,,,,,,,,
5/17/2020,,,,,,,,,,,,,,,,
5/18/2020,,,,,,,,,,,,,,,,
5/19/2020,,,,,,,,,,,,,,,,
5/20/2020,,,,,,,,,,,,,,,,
5/21/2020,,,,,,,,,,,,,,,,
5/22/2020,,,,,,,,,,,,,,,,
5/23/2020,,,,,,,,,,,,,,,,
5/24/2020,,,,,,,,,,,,,,,,
5/25/2020,,,,,,,,,,,,,,,,
5/26/2020,,,,,,,,,,,,,,,,
5/27/2020,,,,,,,,,,,,,,,,
5/28/2020,,,,,,,,,,,,,,,,
5/29/2020,,,,,,,,,,,,,,,,
5/30/2020,,,,,,,,,,,,,,,,
5/31/2020,,,,,,,,,,,,,,,,
6/1/2020,,,,,,,,,,,,,,,,
6/2/2020,,,,,,,,,,,,,,,,
6/3/2020,,,,,,,,,,,,,,,,
6/4/2020,,,,,,,,,,,,,,,,
6/5/2020,,,,,,,,,,,,,,,,
6/6/2020,,,,,,,,,,,,,,,,
6/7/2020,,,,,,,,,,,,,,,,
6/8/2020,,,,,,,,,,,,,,,,
6/9/2020,,,,,,,,,,,,,,,,
6/10/2020,,,,,,,,,,,,,,,,
6/11/2020,,,,,,,,,,,,,,,,
6/12/2020,,,,,,,,,,,,,,,,
6/13/2020,,,,,,,,,,,,,,,,
6/14/2020,,,,,,,,,,,,,,,,
6/15/2020,,,,,,,,,,,,,,,,
6/16/2020,,,,,,,,,,,,,,,,
6/17/2020,,,,,,,,,,,,,,,,
6/18/2020,,,,,,,,,,,,,,,,
6/19/2020,,,,,,,,,,,,,,,,
6/20/2020,,,,,,,,,,,,,,,,
6/21/2020,,,,,,,,,,,,,,,,
6/22/2020,,,,,,,,,,,,,,,,
6/23/2020,,,,,,,,,,,,,,,,
6/24/2020,,,,,,,,,,,,,,,,
6/25/2020,,,,,,,,,,,,,,,,
6/26/2020,,,,,,,,,,,,,,,,
6/27/2020,,,,,,,,,,,,,,,,
6/28/2020,,,,,,,,,,,,,,,,
6/29/2020,,,,,,,,,,,,,,,,
6/30/2020,,,,,,,,,,,,,,,,
7/1/2020,,,,,,,,,,,,,,,,
7/2/2020,,,,,,,,,,,,,,,,
7/3/2020,,,,,,,,,,,,,,,,
7/4/2020,,,,,,,,,,,,,,,,
7/5/2020,,,,,,,,,,,,,,,,
7/6/2020,,,,,,,,,,,,,,,,
7/7/2020,,,,,,,,,,,,,,,,
7/8/2020,,,,,,,,,,,,,,,,
7/9/2020,,,,,,,,,,,,,,,,
7/10/2020,,,,,,,,,,,,,,,,
7/11/2020,,,,,,,,,,,,,,,,
7/12/2020,,,,,,,,,,,,,,,,
7/13/2020,,,,,,,,,,,,,,,,
7/14/2020,,,,,,,,,,,,,,,,
7/15/2020,,,,,,,,,,,,,,,,
7/16/2020,,,,,,,,,,,,,,,,
7/17/2020,,,,,,,,,,,,,,,,
7/18/2020,,,,,,,,,,,,,,,,
7/19/2020,,,,,,,,,,,,,,,,
7/20/2020,,,,,,,,,,,,,,,,
7/21/2020,,,,,,,,,,,,,,,,
7/22/2020,,,,,,,,,,,,,,,,
7/23/2020,,,,,,,,,,,,,,,,
7/24/2020,,,,,,,,,,,,,,,,
7/25/2020,,,,,,,,,,,,,,,,
7/26/2020,,,,,,,,,,,,,,,,
7/27/2020,,,,,,,,,,,,,,,,
7/28/2020,,,,,,,,,,,,,,,,
7/29/2020,,,,,,,,,,,,,,,,
7/30/2020,,,,,,,,,,,,,,,,
7/31/2020,,,,,,,,,,,,,,,,
8/1/2020,,,,,,,,,,,,,,,,
8/2/2020,,,,,,,,,,,,,,,,
8/3/2020,,,,,,,,,,,,,,,,
8/4/2020,,,,,,,,,,,,,,,,
8/5/2020,,,,,,,,,,,,,,,,
8/6/2020,,,,,,,,,,,,,,,,
8/7/2020,,,,,,,,,,,,,,,,
8/8/2020,,,,,,,,,,,,,,,,
8/9/2020,,,,,,,,,,,,,,,,
8/10/2020,,,,,,,,,,,,,,,,
8/11/2020,,,,,,,,,,,,,,,,
8/12/2020,,,,,,,,,,,,,,,,
8/13/2020,,,,,,,,,,,,,,,,
8/14/2020,,,,,,,,,,,,,,,,
8/15/2020,,,,,,,,,,,,,,,,
8/16/2020,,,,,,,,,,,,,,,,
8/17/2020,,,,,,,,,,,,,,,,
8/18/2020,,,,,,,,,,,,,,,,
8/19/2020,,,,,,,,,,,,,,,,
8/20/2020,,,,,,,,,,,,,,,,
8/21/2020,,,,,,,,,,,,,,,,
8/22/2020,,,,,,,,,,,,,,,,
8/23/2020,,,,,,,,,,,,,,,,
8/24/2020,,,,,,,,,,,,,,,,
8/25/2020,,,,,,,,,,,,,,,,
8/26/2020,,,,,,,,,,,,,,,,
8/27/2020,,,,,,,,,,,,,,,,
8/28/2020,,,,,,,,,,,,,,,,
8/29/2020,,,,,,,,,,,,,,,,
8/30/2020,,,,,,,,,,,,,,,,
8/31/2020,,,,,,,,,,,,,,,,
9/1/2020,,,,,,,,,,,,,,,,
9/2/2020,,,,,,,,,,,,,,,,
9/3/2020,,,,,,,,,,,,,,,,
9/4/2020,,,,,,,,,,,,,,,,
9/5/2020,,,,,,,,,,,,,,,,
9/6/2020,,,,,,,,,,,,,,,,
9/7/2020,,,,,,,,,,,,,,,,
9/8/2020,,,,,,,,,,,,,,,,
9/9/2020,,,,,,,,,,,,,,,,
9/10/2020,,,,,,,,,,,,,,,,
9/11/2020,,,,,,,,,,,,,,,,
9/12/2020,,,,,,,,,,,,,,,,
9/13/2020,,,,,,,,,,,,,,,,
9/14/2020,,,,,,,,,,,,,,,,
9/15/2020,,,,,,,,,,,,,,,,
9/16/2020,,,,,,,,,,,,,,,,
9/17/2020,,,,,,,,,,,,,,,,
9/18/2020,,,,,,,,,,,,,,,,
9/19/2020,,,,,,,,,,,,,,,,
9/20/2020,,,,,,,,,,,,,,,,
9/21/2020,,,,,,,,,,,,,,,,
9/22/2020,,,,,,,,,,,,,,,,
9/23/2020,,,,,,,,,,,,,,,,
9/24/2020,,,,,,,,,,,,,,,,
9/25/2020,,,,,,,,,,,,,,,,
9/26/2020,,,,,,,,,,,,,,,,
9/27/2020,,,,,,,,,,,,,,,,
9/28/2020,,,,,,,,,,,,,,,,
9/29/2020,,,,,,,,,,,,,,,,
9/30/2020,,,,,,,,,,,,,,,,
10/1/2020,,,,,,,,,,,,,,,,
10/2/2020,,,,,,,,,,,,,,,,
10/3/2020,,,,,,,,,,,,,,,,
10/4/2020,,,,,,,,,,,,,,,,
10/5/2020,,,,,,,,,,,,,,,,
10/6/2020,,,,,,,,,,,,,,,,
10/7/2020,,,,,,,,,,,,,,,,
10/8/2020,,,,,,,,,,,,,,,,
10/9/2020,,,,,,,,,,,,,,,,
10/10/2020,,,,,,,,,,,,,,,,
10/11/2020,,,,,,,,,,,,,,,,
10/12/2020,,,,,,,,,,,,,,,,
10/13/2020,,,,,,,,,,,,,,,,
10/14/2020,,,,,,,,,,,,,,,,
10/15/2020,,,,,,,,,,,,,,,,
10/16/2020,,,,,,,,,,,,,,,,
10/17/2020,,,,,,,,,,,,,,,,
10/18/2020,,,,,,,,,,,,,,,,
10/19/2020,,,,,,,,,,,,,,,,
10/20/2020,,,,,,,,,,,,,,,,
10/21/2020,,,,,,,,,,,,,,,,
10/22/2020,,,,,,,,,,,,,,,,
10/23/2020,,,,,,,,,,,,,,,,
10/24/2020,,,,,,,,,,,,,,,,
10/25/2020,,,,,,,,,,,,,,,,
10/26/2020,,,,,,,,,,,,,,,,
10/27/2020,,,,,,,,,,,,,,,,
10/28/2020,,,,,,,,,,,,,,,,
10/29/2020,,,,,,,,,,,,,,,,
10/30/2020,,,,,,,,,,,,,,,,
10/31/2020,,,,,,,,,,,,,,,,
11/1/2020,,,,,,,,,,,,,,,,
11/2/2020,,,,,,,,,,,,,,,,
11/3/2020,,,,,,,,,,,,,,,,
11/4/2020,,,,,,,,,,,,,,,,
11/5/2020,,,,,,,,,,,,,,,,
11/6/2020,,,,,,,,,,,,,,,,
11/7/2020,,,,,,,,,,,,,,,,
11/8/2020,,,,,,,,,,,,,,,,
11/9/2020,,,,,,,,,,,,,,,,
11/10/2020,,,,,,,,,,,,,,,,
11/11/2020,,,,,,,,,,,,,,,,
11/12/2020,,,,,,,,,,,,,,,,
11/13/2020,,,,,,,,,,,,,,,,
11/14/2020,,,,,,,,,,,,,,,,
11/15/2020,,,,,,,,,,,,,,,,
11/16/2020,,,,,,,,,,,,,,,,
11/17/2020,,,,,,,,,,,,,,,,
11/18/2020,,,,,,,,,,,,,,,,
11/19/2020,,,,,,,,,,,,,,,,
11/20/2020,,,,,,,,,,,,,,,,
11/21/2020,,,,,,,,,,,,,,,,
11/22/2020,,,,,,,,,,,,,,,,
11/23/2020,,,,,,,,,,,,,,,,
11/24/2020,,,,,,,,,,,,,,,,
11/25/2020,,,,,,,,,,,,,,,,
11/26/2020,,,,,,,,,,,,,,,,
11/27/2020,,,,,,,,,,,,,,,,
11/28/2020,,,,,,,,,,,,,,,,
11/29/2020,,,,,,,,,,,,,,,,
11/30/2020,,,,,,,,,,,,,,,,
12/1/2020,,,,,,,,,,,,,,,,
12/2/2020,,,,,,,,,,,,,,,,
12/3/2020,,,,,,,,,,,,,,,,
12/4/2020,,,,,,,,,,,,,,,,
12/5/2020,,,,,,,,,,,,,,,,
12/6/2020,,,,,,,,,,,,,,,,
12/7/2020,,,,,,,,,,,,,,,,
12/8/2020,,,,,,,,,,,,,,,,
12/9/2020,,,,,,,,,,,,,,,,
12/10/2020,,,,,,,,,,,,,,,,
12/11/2020,,,,,,,,,,,,,,,,
12/12/2020,,,,,,,,,,,,,,,,
12/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/19/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/29/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/13/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/14/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/15/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/16/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/17/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/18/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/19/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/20/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/21/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/22/2021,0,0,80,0,0,0,0,0,303,0,0,0,0,0,0,0
1/23/2021,0,0,106,0,0,0,0,0,306,0,0,0,0,0,0,0
1/24/2021,0,0,106,0,0,0,0,0,307,0,0,0,0,0,0,0
1/25/2021,0,0,106,0,0,0,0,0,307,0,0,0,0,0,0,0
1/26/2021,0,0,106,0,0,0,0,0,309,0,0,0,0,0,0,0
1/27/2021,0,0,106,0,0,0,0,0,309,0,0,0,0,0,0,0
1/28/2021,0,0,106,0,0,0,0,0,330,148,0,0,0,0,0,0
1/29/2021,0,0,106,0,0,0,0,0,330,148,0,0,0,0,314,0
1/30/2021,0,0,135,259,0,0,230,0,359,150,0,179,0,0,314,0
1/31/2021,0,0,135,272,0,0,280,0,360,150,0,182,0,0,318,0
2/1/2021,0,0,135,272,0,0,280,0,360,150,0,182,0,0,321,0
2/2/2021,0,0,135,272,0,0,280,0,360,150,0,183,0,0,362,0
2/3/2021,0,0,135,284,0,0,296,0,382,150,0,187,0,0,377,0
2/4/2021,0,0,135,289,0,0,305,0,399,153,0,199,0,0,414,0
2/5/2021,247,0,135,305,0,0,305,0,399,153,0,199,0,0,423,0
2/6/2021,251,0,139,392,0,0,312,183,432,155,0,211,0,0,423,0
2/7/2021,253,0,140,400,0,0,370,183,483,155,0,216,0,0,440,0
2/8/2021,256,0,140,400,0,0,371,183,483,157,0,216,0,0,440,0
2/9/2021,256,0,140,400,0,0,372,183,483,157,0,216,0,0,460,0
2/10/2021,256,0,140,401,0,0,372,191,483,157,0,217,98,0,470,0
2/11/2021,260,0,140,401,0,0,372,205,512,159,0,222,98,0,491,0
2/12/2021,298,0,140,435,196,0,412,241,521,180,0,233,98,0,506,0
2/13/2021,302,0,169,436,200,0,412,243,521,180,0,236,98,0,506,0
2/14/2021,306,0,169,455,201,0,471,248,523,181,151,241,98,0,509,0
2/15/2021,306,0,169,455,202,0,472,248,523,186,152,241,99,0,509,0
2/16/2021,309,0,171,458,202,0,472,248,523,186,152,241,99,0,509,0
2/17/2021,310,0,171,458,202,0,472,252,524,188,154,241,101,0,523,49
2/18/2021,311,0,171,467,202,0,473,252,524,203,154,244,101,0,529,49
