date,"Miner, SD","Harding, SD","Campbell, SD","Buffalo, SD","Faulk, SD","Haakoon, SD","Towner, ND","Sheridan, ND","Eddy, ND","Golden Valley, ND","Oliver, ND","Logan, ND"
3/27/2020,,,,,,,,,,,,
3/28/2020,,,,,,,,,,,,
3/29/2020,,,,,,,,,,,,
3/30/2020,,,,,,,,,,,,
3/31/2020,,,,,,,,,,,,
4/1/2020,,,,,,,,,,,,
4/2/2020,,,,,,,,,,,,
4/3/2020,,,,,,,,,,,,
4/4/2020,,,,,,,,,,,,
4/5/2020,,,,,,,,,,,,
4/6/2020,,,,,,,,,,,,
4/7/2020,,,,,,,,,,,,
4/8/2020,,,,,,,,,,,,
4/9/2020,,,,,,,,,,,,
4/10/2020,,,,,,,,,,,,
4/11/2020,,,,,,,,,,,,
4/12/2020,,,,,,,,,,,,
4/13/2020,,,,,,,,,,,,
4/14/2020,,,,,,,,,,,,
4/15/2020,,,,,,,,,,,,
4/16/2020,,,,,,,,,,,,
4/17/2020,,,,,,,,,,,,
4/18/2020,,,,,,,,,,,,
4/19/2020,,,,,,,,,,,,
4/20/2020,,,,,,,,,,,,
4/21/2020,,,,,,,,,,,,
4/22/2020,,,,,,,,,,,,
4/23/2020,,,,,,,,,,,,
4/24/2020,,,,,,,,,,,,
4/25/2020,,,,,,,,,,,,
4/26/2020,,,,,,,,,,,,
4/27/2020,,,,,,,,,,,,
4/28/2020,,,,,,,,,,,,
4/29/2020,,,,,,,,,,,,
4/30/2020,,,,,,,,,,,,
5/1/2020,,,,,,,,,,,,
5/2/2020,,,,,,,,,,,,
5/3/2020,,,,,,,,,,,,
5/4/2020,,,,,,,,,,,,
5/5/2020,,,,,,,,,,,,
5/6/2020,,,,,,,,,,,,
5/7/2020,,,,,,,,,,,,
5/8/2020,,,,,,,,,,,,
5/9/2020,,,,,,,,,,,,
5/10/2020,,,,,,,,,,,,
5/11/2020,,,,,,,,,,,,
5/12/2020,,,,,,,,,,,,
5/13/2020,,,,,,,,,,,,
5/14/2020,,,,,,,,,,,,
5/15/2020,,,,,,,,,,,,
5/16/2020,,,,,,,,,,,,
5/17/2020,,,,,,,,,,,,
5/18/2020,,,,,,,,,,,,
5/19/2020,,,,,,,,,,,,
5/20/2020,,,,,,,,,,,,
5/21/2020,,,,,,,,,,,,
5/22/2020,,,,,,,,,,,,
5/23/2020,,,,,,,,,,,,
5/24/2020,,,,,,,,,,,,
5/25/2020,,,,,,,,,,,,
5/26/2020,,,,,,,,,,,,
5/27/2020,,,,,,,,,,,,
5/28/2020,,,,,,,,,,,,
5/29/2020,,,,,,,,,,,,
5/30/2020,,,,,,,,,,,,
5/31/2020,,,,,,,,,,,,
6/1/2020,,,,,,,,,,,,
6/2/2020,,,,,,,,,,,,
6/3/2020,,,,,,,,,,,,
6/4/2020,,,,,,,,,,,,
6/5/2020,,,,,,,,,,,,
6/6/2020,,,,,,,,,,,,
6/7/2020,,,,,,,,,,,,
6/8/2020,,,,,,,,,,,,
6/9/2020,,,,,,,,,,,,
6/10/2020,,,,,,,,,,,,
6/11/2020,,,,,,,,,,,,
6/12/2020,,,,,,,,,,,,
6/13/2020,,,,,,,,,,,,
6/14/2020,,,,,,,,,,,,
6/15/2020,,,,,,,,,,,,
6/16/2020,,,,,,,,,,,,
6/17/2020,,,,,,,,,,,,
6/18/2020,,,,,,,,,,,,
6/19/2020,,,,,,,,,,,,
6/20/2020,,,,,,,,,,,,
6/21/2020,,,,,,,,,,,,
6/22/2020,,,,,,,,,,,,
6/23/2020,,,,,,,,,,,,
6/24/2020,,,,,,,,,,,,
6/25/2020,,,,,,,,,,,,
6/26/2020,,,,,,,,,,,,
6/27/2020,,,,,,,,,,,,
6/28/2020,,,,,,,,,,,,
6/29/2020,,,,,,,,,,,,
6/30/2020,,,,,,,,,,,,
7/1/2020,,,,,,,,,,,,
7/2/2020,,,,,,,,,,,,
7/3/2020,,,,,,,,,,,,
7/4/2020,,,,,,,,,,,,
7/5/2020,,,,,,,,,,,,
7/6/2020,,,,,,,,,,,,
7/7/2020,,,,,,,,,,,,
7/8/2020,,,,,,,,,,,,
7/9/2020,,,,,,,,,,,,
7/10/2020,,,,,,,,,,,,
7/11/2020,,,,,,,,,,,,
7/12/2020,,,,,,,,,,,,
7/13/2020,,,,,,,,,,,,
7/14/2020,,,,,,,,,,,,
7/15/2020,,,,,,,,,,,,
7/16/2020,,,,,,,,,,,,
7/17/2020,,,,,,,,,,,,
7/18/2020,,,,,,,,,,,,
7/19/2020,,,,,,,,,,,,
7/20/2020,,,,,,,,,,,,
7/21/2020,,,,,,,,,,,,
7/22/2020,,,,,,,,,,,,
7/23/2020,,,,,,,,,,,,
7/24/2020,,,,,,,,,,,,
7/25/2020,,,,,,,,,,,,
7/26/2020,,,,,,,,,,,,
7/27/2020,,,,,,,,,,,,
7/28/2020,,,,,,,,,,,,
7/29/2020,,,,,,,,,,,,
7/30/2020,,,,,,,,,,,,
7/31/2020,,,,,,,,,,,,
8/1/2020,,,,,,,,,,,,
8/2/2020,,,,,,,,,,,,
8/3/2020,,,,,,,,,,,,
8/4/2020,,,,,,,,,,,,
8/5/2020,,,,,,,,,,,,
8/6/2020,,,,,,,,,,,,
8/7/2020,,,,,,,,,,,,
8/8/2020,,,,,,,,,,,,
8/9/2020,,,,,,,,,,,,
8/10/2020,,,,,,,,,,,,
8/11/2020,,,,,,,,,,,,
8/12/2020,,,,,,,,,,,,
8/13/2020,,,,,,,,,,,,
8/14/2020,,,,,,,,,,,,
8/15/2020,,,,,,,,,,,,
8/16/2020,,,,,,,,,,,,
8/17/2020,,,,,,,,,,,,
8/18/2020,,,,,,,,,,,,
8/19/2020,,,,,,,,,,,,
8/20/2020,,,,,,,,,,,,
8/21/2020,,,,,,,,,,,,
8/22/2020,,,,,,,,,,,,
8/23/2020,,,,,,,,,,,,
8/24/2020,,,,,,,,,,,,
8/25/2020,,,,,,,,,,,,
8/26/2020,,,,,,,,,,,,
8/27/2020,,,,,,,,,,,,
8/28/2020,,,,,,,,,,,,
8/29/2020,,,,,,,,,,,,
8/30/2020,,,,,,,,,,,,
8/31/2020,,,,,,,,,,,,
9/1/2020,,,,,,,,,,,,
9/2/2020,,,,,,,,,,,,
9/3/2020,,,,,,,,,,,,
9/4/2020,,,,,,,,,,,,
9/5/2020,,,,,,,,,,,,
9/6/2020,,,,,,,,,,,,
9/7/2020,,,,,,,,,,,,
9/8/2020,,,,,,,,,,,,
9/9/2020,,,,,,,,,,,,
9/10/2020,,,,,,,,,,,,
9/11/2020,,,,,,,,,,,,
9/12/2020,,,,,,,,,,,,
9/13/2020,,,,,,,,,,,,
9/14/2020,,,,,,,,,,,,
9/15/2020,,,,,,,,,,,,
9/16/2020,,,,,,,,,,,,
9/17/2020,,,,,,,,,,,,
9/18/2020,,,,,,,,,,,,
9/19/2020,,,,,,,,,,,,
9/20/2020,,,,,,,,,,,,
9/21/2020,,,,,,,,,,,,
9/22/2020,,,,,,,,,,,,
9/23/2020,,,,,,,,,,,,
9/24/2020,,,,,,,,,,,,
9/25/2020,,,,,,,,,,,,
9/26/2020,,,,,,,,,,,,
9/27/2020,,,,,,,,,,,,
9/28/2020,,,,,,,,,,,,
9/29/2020,,,,,,,,,,,,
9/30/2020,,,,,,,,,,,,
10/1/2020,,,,,,,,,,,,
10/2/2020,,,,,,,,,,,,
10/3/2020,,,,,,,,,,,,
10/4/2020,,,,,,,,,,,,
10/5/2020,,,,,,,,,,,,
10/6/2020,,,,,,,,,,,,
10/7/2020,,,,,,,,,,,,
10/8/2020,,,,,,,,,,,,
10/9/2020,,,,,,,,,,,,
10/10/2020,,,,,,,,,,,,
10/11/2020,,,,,,,,,,,,
10/12/2020,,,,,,,,,,,,
10/13/2020,,,,,,,,,,,,
10/14/2020,,,,,,,,,,,,
10/15/2020,,,,,,,,,,,,
10/16/2020,,,,,,,,,,,,
10/17/2020,,,,,,,,,,,,
10/18/2020,,,,,,,,,,,,
10/19/2020,,,,,,,,,,,,
10/20/2020,,,,,,,,,,,,
10/21/2020,,,,,,,,,,,,
10/22/2020,,,,,,,,,,,,
10/23/2020,,,,,,,,,,,,
10/24/2020,,,,,,,,,,,,
10/25/2020,,,,,,,,,,,,
10/26/2020,,,,,,,,,,,,
10/27/2020,,,,,,,,,,,,
10/28/2020,,,,,,,,,,,,
10/29/2020,,,,,,,,,,,,
10/30/2020,,,,,,,,,,,,
10/31/2020,,,,,,,,,,,,
11/1/2020,,,,,,,,,,,,
11/2/2020,,,,,,,,,,,,
11/3/2020,,,,,,,,,,,,
11/4/2020,,,,,,,,,,,,
11/5/2020,,,,,,,,,,,,
11/6/2020,,,,,,,,,,,,
11/7/2020,,,,,,,,,,,,
11/8/2020,,,,,,,,,,,,
11/9/2020,,,,,,,,,,,,
11/10/2020,,,,,,,,,,,,
11/11/2020,,,,,,,,,,,,
11/12/2020,,,,,,,,,,,,
11/13/2020,,,,,,,,,,,,
11/14/2020,,,,,,,,,,,,
11/15/2020,,,,,,,,,,,,
11/16/2020,,,,,,,,,,,,
11/17/2020,,,,,,,,,,,,
11/18/2020,,,,,,,,,,,,
11/19/2020,,,,,,,,,,,,
11/20/2020,,,,,,,,,,,,
11/21/2020,,,,,,,,,,,,
11/22/2020,,,,,,,,,,,,
11/23/2020,,,,,,,,,,,,
11/24/2020,,,,,,,,,,,,
11/25/2020,,,,,,,,,,,,
11/26/2020,,,,,,,,,,,,
11/27/2020,,,,,,,,,,,,
11/28/2020,,,,,,,,,,,,
11/29/2020,,,,,,,,,,,,
11/30/2020,,,,,,,,,,,,
12/1/2020,,,,,,,,,,,,
12/2/2020,,,,,,,,,,,,
12/3/2020,,,,,,,,,,,,
12/4/2020,,,,,,,,,,,,
12/5/2020,,,,,,,,,,,,
12/6/2020,,,,,,,,,,,,
12/7/2020,,,,,,,,,,,,
12/8/2020,,,,,,,,,,,,
12/9/2020,,,,,,,,,,,,
12/10/2020,,,,,,,,,,,,
12/11/2020,,,,,,,,,,,,
12/12/2020,,,,,,,,,,,,
12/13/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/14/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/15/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/16/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/17/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/18/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/19/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/20/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/21/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/23/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/24/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/25/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/26/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/27/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/28/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/29/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2020,0,0,0,0,0,0,0,0,0,0,0,0
12/31/2020,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/4/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/5/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/8/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/12/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/13/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/14/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/15/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/16/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/17/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/18/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/19/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/20/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/21/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/22/2021,0,0,80,0,0,0,0,0,303,0,0,0
1/23/2021,0,0,26,0,0,0,0,0,3,0,0,0
1/24/2021,0,0,0,0,0,0,0,0,1,0,0,0
1/25/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/26/2021,0,0,0,0,0,0,0,0,2,0,0,0
1/27/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/28/2021,0,0,0,0,0,0,0,0,21,148,0,0
1/29/2021,0,0,0,0,0,0,0,0,0,0,0,0
1/30/2021,0,0,29,259,0,0,230,0,29,2,0,179
1/31/2021,0,0,0,13,0,0,50,0,1,0,0,3
2/1/2021,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2021,0,0,0,0,0,0,0,0,0,0,0,1
2/3/2021,0,0,0,12,0,0,16,0,22,0,0,4
2/4/2021,0,0,0,5,0,0,9,0,17,3,0,12
2/5/2021,247,0,0,16,0,0,0,0,0,0,0,0
2/6/2021,4,0,4,87,0,0,7,183,33,2,0,12
2/7/2021,2,0,1,8,0,0,58,0,51,0,0,5
2/8/2021,3,0,0,0,0,0,1,0,0,2,0,0
2/9/2021,0,0,0,0,0,0,1,0,0,0,0,0
2/10/2021,0,0,0,1,0,0,0,8,0,0,0,1
2/11/2021,4,0,0,0,0,0,0,14,29,2,0,5
2/12/2021,38,0,0,34,196,0,40,36,9,21,0,11
2/13/2021,4,0,29,1,4,0,0,2,0,0,0,3
2/14/2021,4,0,0,19,1,0,59,5,2,1,151,5
2/15/2021,0,0,0,0,1,0,1,0,0,5,1,0
2/16/2021,3,0,2,3,0,0,0,0,0,0,0,0
2/17/2021,1,0,0,0,0,0,0,4,1,2,2,0
2/18/2021,1,0,0,9,0,0,1,0,0,15,0,3
2/19/2021,18,0,18,0,34,0,0,0,0,0,0,0
2/20/2021,2,0,1,5,1,0,1,1,2,10,11,39
2/21/2021,1,0,1,6,3,0,51,0,14,1,2,1
2/22/2021,0,0,1,0,2,0,0,0,0,0,0,0
2/23/2021,0,0,4,0,0,0,7,1,75,0,0,0
2/24/2021,8,0,0,10,1,0,8,2,11,2,9,10
2/25/2021,5,0,0,0,22,0,1,1,22,45,16,0
2/26/2021,36,0,23,3,16,0,1,0,0,0,0,0
2/27/2021,2,0,0,1,1,0,7,8,6,0,2,44
2/28/2021,1,49,0,4,8,39,5,10,19,4,3,0
3/1/2021,0,0,0,0,2,0,2,0,0,0,6,1
3/2/2021,0,0,0,0,0,1,0,0,39,0,4,1
3/3/2021,1,0,0,8,1,0,0,0,0,0,0,0
3/4/2021,0,0,0,6,0,0,34,0,10,2,8,1
3/5/2021,30,2,2,6,17,1,14,18,9,14,11,14
3/6/2021,6,9,0,8,0,3,2,10,2,17,4,13
3/7/2021,8,2,1,0,2,0,45,0,2,2,3,11
3/8/2021,2,0,0,0,0,0,0,0,0,0,1,0
3/9/2021,1,0,0,2,0,0,0,0,4,1,0,0
3/10/2021,0,3,0,1,22,0,0,0,0,0,0,0
3/11/2021,8,2,0,1,58,7,3,0,4,9,2,3
3/12/2021,48,9,20,2,3,14,0,8,1,9,3,6
3/13/2021,5,0,1,1,3,4,6,13,53,6,2,1
3/14/2021,16,1,0,0,8,12,26,0,1,5,2,8
3/15/2021,1,0,0,7,0,0,0,0,0,0,0,0
3/16/2021,0,0,2,0,0,0,1,0,2,0,0,0
3/17/2021,2,0,0,0,5,1,5,16,8,0,8,0
3/18/2021,11,0,0,1,46,3,2,2,6,6,3,8
3/19/2021,26,0,2,3,38,12,0,2,2,3,13,0
3/20/2021,5,8,10,7,11,7,2,3,16,0,9,11
3/21/2021,25,1,0,0,4,0,0,1,5,0,3,20
3/22/2021,4,0,3,0,1,0,1,0,0,0,1,0
3/23/2021,0,0,0,0,0,0,0,0,0,0,0,0
3/24/2021,5,0,0,3,5,0,2,0,6,0,0,0
3/25/2021,14,0,0,3,23,0,0,1,2,10,3,12
3/26/2021,48,0,1,12,51,0,0,1,1,24,17,1
3/27/2021,4,7,17,2,6,0,2,6,6,0,7,8
3/28/2021,20,5,0,0,6,0,12,0,5,2,1,0
3/29/2021,2,1,0,0,3,0,0,0,0,0,1,0
3/30/2021,0,0,0,0,1,0,2,0,0,2,3,2
3/31/2021,10,0,0,0,3,0,0,0,2,0,4,3
4/1/2021,40,1,0,2,4,0,0,0,1,1,10,0
4/2/2021,10,9,16,2,30,0,2,2,4,5,9,2
4/3/2021,11,0,0,2,9,0,5,0,19,3,3,7
4/4/2021,1,0,0,0,1,0,17,0,5,0,0,0
4/5/2021,0,0,0,0,1,0,0,0,0,0,0,0
4/6/2021,0,0,0,0,0,0,0,0,0,0,0,0
4/7/2021,4,1,1,0,4,0,1,0,9,1,0,0
4/8/2021,2,0,0,1,15,0,2,4,1,0,3,3
4/9/2021,13,11,2,2,32,0,7,5,7,11,9,2
4/10/2021,2,18,14,4,6,0,5,2,5,1,4,19
4/11/2021,39,1,1,4,2,0,24,0,1,0,1,1
4/12/2021,1,0,0,0,4,0,0,0,1,0,1,0
